skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
unused3416	3806																																																																																																																																																																																																																																																																																		0
unused3417	3807																																																																																																																																																																																																																																																																																		0
unused3418	3808																																																																																																																																																																																																																																																																																		0
unused3419	3809																																																																																																																																																																																																																																																																																		0
unused3420	3810																																																																																																																																																																																																																																																																																		0
unused3421	3811																																																																																																																																																																																																																																																																																		0
unused3422	3812																																																																																																																																																																																																																																																																																		0
unused3423	3813																																																																																																																																																																																																																																																																																		0
unused3424	3814																																																																																																																																																																																																																																																																																		0
unused3425	3815																																																																																																																																																																																																																																																																																		0
unused3426	3816																																																																																																																																																																																																																																																																																		0
unused3427	3817																																																																																																																																																																																																																																																																																		0
unused3428	3818																																																																																																																																																																																																																																																																																		0
unused3429	3819																																																																																																																																																																																																																																																																																		0
unused3430	3820																																																																																																																																																																																																																																																																																		0
unused3431	3821																																																																																																																																																																																																																																																																																		0
unused3432	3822																																																																																																																																																																																																																																																																																		0
unused3433	3823																																																																																																																																																																																																																																																																																		0
unused3434	3824																																																																																																																																																																																																																																																																																		0
unused3435	3825																																																																																																																																																																																																																																																																																		0
unused3436	3826																																																																																																																																																																																																																																																																																		0
unused3437	3827																																																																																																																																																																																																																																																																																		0
unused3438	3828																																																																																																																																																																																																																																																																																		0
unused3439	3829																																																																																																																																																																																																																																																																																		0
unused3440	3830																																																																																																																																																																																																																																																																																		0
unused3441	3831																																																																																																																																																																																																																																																																																		0
unused3442	3832																																																																																																																																																																																																																																																																																		0
unused3443	3833																																																																																																																																																																																																																																																																																		0
unused3444	3834																																																																																																																																																																																																																																																																																		0
unused3445	3835																																																																																																																																																																																																																																																																																		0
unused3446	3836																																																																																																																																																																																																																																																																																		0
unused3447	3837																																																																																																																																																																																																																																																																																		0
unused3448	3838																																																																																																																																																																																																																																																																																		0
unused3449	3839																																																																																																																																																																																																																																																																																		0
unused3450	3840																																																																																																																																																																																																																																																																																		0
unused3451	3841																																																																																																																																																																																																																																																																																		0
unused3452	3842																																																																																																																																																																																																																																																																																		0
unused3453	3843																																																																																																																																																																																																																																																																																		0
unused3454	3844																																																																																																																																																																																																																																																																																		0
unused3455	3845																																																																																																																																																																																																																																																																																		0
unused3456	3846																																																																																																																																																																																																																																																																																		0
unused3457	3847																																																																																																																																																																																																																																																																																		0
unused3458	3848																																																																																																																																																																																																																																																																																		0
unused3459	3849																																																																																																																																																																																																																																																																																		0
unused3460	3850																																																																																																																																																																																																																																																																																		0
unused3461	3851																																																																																																																																																																																																																																																																																		0
unused3462	3852																																																																																																																																																																																																																																																																																		0
unused3463	3853																																																																																																																																																																																																																																																																																		0
unused3464	3854																																																																																																																																																																																																																																																																																		0
unused3465	3855																																																																																																																																																																																																																																																																																		0
unused3466	3856																																																																																																																																																																																																																																																																																		0
unused3467	3857																																																																																																																																																																																																																																																																																		0
unused3468	3858																																																																																																																																																																																																																																																																																		0
unused3469	3859																																																																																																																																																																																																																																																																																		0
unused3470	3860																																																																																																																																																																																																																																																																																		0
unused3471	3861																																																																																																																																																																																																																																																																																		0
unused3472	3862																																																																																																																																																																																																																																																																																		0
unused3473	3863																																																																																																																																																																																																																																																																																		0
unused3474	3864																																																																																																																																																																																																																																																																																		0
unused3475	3865																																																																																																																																																																																																																																																																																		0
unused3476	3866																																																																																																																																																																																																																																																																																		0
unused3477	3867																																																																																																																																																																																																																																																																																		0
unused3478	3868																																																																																																																																																																																																																																																																																		0
unused3479	3869																																																																																																																																																																																																																																																																																		0
unused3480	3870																																																																																																																																																																																																																																																																																		0
unused3481	3871																																																																																																																																																																																																																																																																																		0
unused3482	3872																																																																																																																																																																																																																																																																																		0
unused3483	3873																																																																																																																																																																																																																																																																																		0
unused3484	3874																																																																																																																																																																																																																																																																																		0
unused3485	3875																																																																																																																																																																																																																																																																																		0
unused3486	3876																																																																																																																																																																																																																																																																																		0
unused3487	3877																																																																																																																																																																																																																																																																																		0
unused3488	3878																																																																																																																																																																																																																																																																																		0
unused3489	3879																																																																																																																																																																																																																																																																																		0
unused3490	3880																																																																																																																																																																																																																																																																																		0
unused3491	3881																																																																																																																																																																																																																																																																																		0
unused3492	3882																																																																																																																																																																																																																																																																																		0
unused3493	3883																																																																																																																																																																																																																																																																																		0
unused3494	3884																																																																																																																																																																																																																																																																																		0
unused3495	3885																																																																																																																																																																																																																																																																																		0
unused3496	3886																																																																																																																																																																																																																																																																																		0
unused3497	3887																																																																																																																																																																																																																																																																																		0
unused3498	3888																																																																																																																																																																																																																																																																																		0
unused3499	3889																																																																																																																																																																																																																																																																																		0
unused3500	3890																																																																																																																																																																																																																																																																																		0
unused3501	3891																																																																																																																																																																																																																																																																																		0
unused3502	3892																																																																																																																																																																																																																																																																																		0
unused3503	3893																																																																																																																																																																																																																																																																																		0
unused3504	3894																																																																																																																																																																																																																																																																																		0
unused3505	3895																																																																																																																																																																																																																																																																																		0
unused3506	3896																																																																																																																																																																																																																																																																																		0
unused3507	3897																																																																																																																																																																																																																																																																																		0
unused3508	3898																																																																																																																																																																																																																																																																																		0
unused3509	3899																																																																																																																																																																																																																																																																																		0
unused3510	3900																																																																																																																																																																																																																																																																																		0
unused3511	3901																																																																																																																																																																																																																																																																																		0
unused3512	3902																																																																																																																																																																																																																																																																																		0
unused3513	3903																																																																																																																																																																																																																																																																																		0
unused3514	3904																																																																																																																																																																																																																																																																																		0
unused3515	3905																																																																																																																																																																																																																																																																																		0
unused3516	3906																																																																																																																																																																																																																																																																																		0
unused3517	3907																																																																																																																																																																																																																																																																																		0
unused3518	3908																																																																																																																																																																																																																																																																																		0
unused3519	3909																																																																																																																																																																																																																																																																																		0
unused3520	3910																																																																																																																																																																																																																																																																																		0
unused3521	3911																																																																																																																																																																																																																																																																																		0
unused3522	3912																																																																																																																																																																																																																																																																																		0
unused3523	3913																																																																																																																																																																																																																																																																																		0
unused3524	3914																																																																																																																																																																																																																																																																																		0
unused3525	3915																																																																																																																																																																																																																																																																																		0
unused3526	3916																																																																																																																																																																																																																																																																																		0
unused3527	3917																																																																																																																																																																																																																																																																																		0
unused3528	3918																																																																																																																																																																																																																																																																																		0
unused3529	3919																																																																																																																																																																																																																																																																																		0
unused3530	3920																																																																																																																																																																																																																																																																																		0
unused3531	3921																																																																																																																																																																																																																																																																																		0
unused3532	3922																																																																																																																																																																																																																																																																																		0
unused3533	3923																																																																																																																																																																																																																																																																																		0
unused3534	3924																																																																																																																																																																																																																																																																																		0
unused3535	3925																																																																																																																																																																																																																																																																																		0
unused3536	3926																																																																																																																																																																																																																																																																																		0
unused3537	3927																																																																																																																																																																																																																																																																																		0
unused3538	3928																																																																																																																																																																																																																																																																																		0
unused3539	3929																																																																																																																																																																																																																																																																																		0
unused3540	3930																																																																																																																																																																																																																																																																																		0
unused3541	3931																																																																																																																																																																																																																																																																																		0
unused3542	3932																																																																																																																																																																																																																																																																																		0
unused3543	3933																																																																																																																																																																																																																																																																																		0
unused3544	3934																																																																																																																																																																																																																																																																																		0
unused3545	3935																																																																																																																																																																																																																																																																																		0
unused3546	3936																																																																																																																																																																																																																																																																																		0
unused3547	3937																																																																																																																																																																																																																																																																																		0
unused3548	3938																																																																																																																																																																																																																																																																																		0
unused3549	3939																																																																																																																																																																																																																																																																																		0
unused3550	3940																																																																																																																																																																																																																																																																																		0
unused3551	3941																																																																																																																																																																																																																																																																																		0
unused3552	3942																																																																																																																																																																																																																																																																																		0
unused3553	3943																																																																																																																																																																																																																																																																																		0
unused3554	3944																																																																																																																																																																																																																																																																																		0
unused3555	3945																																																																																																																																																																																																																																																																																		0
unused3556	3946																																																																																																																																																																																																																																																																																		0
unused3557	3947																																																																																																																																																																																																																																																																																		0
unused3558	3948																																																																																																																																																																																																																																																																																		0
unused3559	3949																																																																																																																																																																																																																																																																																		0
unused3560	3950																																																																																																																																																																																																																																																																																		0
unused3561	3951																																																																																																																																																																																																																																																																																		0
unused3562	3952																																																																																																																																																																																																																																																																																		0
unused3563	3953																																																																																																																																																																																																																																																																																		0
unused3564	3954																																																																																																																																																																																																																																																																																		0
unused3565	3955																																																																																																																																																																																																																																																																																		0
unused3566	3956																																																																																																																																																																																																																																																																																		0
unused3567	3957																																																																																																																																																																																																																																																																																		0
unused3568	3958																																																																																																																																																																																																																																																																																		0
unused3569	3959																																																																																																																																																																																																																																																																																		0
unused3570	3960																																																																																																																																																																																																																																																																																		0
