description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
item -> added mod 2	1				100	16	366	670		2	boot	or3						useitem			100	corrupt	100		61	61	corruptnum	100		1001	1001	hp	100		20	40																																																																					0
item -> added mod 3	1				100	16	366	700		2	boot	or3						useitem			100	corrupt	100		48	48	corruptnum	100		1001	1001	indestruct	100		1	1	ac%	100		50	80																																																																0
item -> added mod 4	1				100	16	366	730		2	boot	or3						useitem			100	corrupt	100		51	51	corruptnum	100		1001	1001	res-all	100		5	8																																																																					0
item -> added mod 5	1				100	16	366	760		2	boot	or3						useitem			100	corrupt	100		34	34	corruptnum	100		1001	1001	regen	100		15	25																																																																					0
item -> added mod 6	1				100	16	366	790		2	boot	or3						useitem			100	corrupt	100		8	8	corruptnum	100		1001	1001	heal-kill	100		2	3																																																																					0
item -> added mod 7	1				100	16	366	820		2	boot	or3						useitem			100	corrupt	100		9	9	corruptnum	100		1001	1001	mana-kill	100		2	3																																																																					0
item -> added mod 8	1				100	16	366	850		2	boot	or3						useitem			100	corrupt	100		35	35	corruptnum	100		1001	1001	balance1	100		10	10																																																																					0
Tier 3	0																																																																																																								0
item -> added mod 1	1				100	16	366	869		2	boot	or3						useitem			100	corrupt	100		44	44	corruptnum	100		1001	1001	move1	100		10	10																																																																					0
item -> added mod 2	1				100	16	366	888		2	boot	or3						useitem			100	corrupt	100		67	67	corruptnum	100		1001	1001	block	100		10	10																																																																					0
item -> added mod 3	1				100	16	366	907		2	boot	or3						useitem			100	corrupt	100		62	62	corruptnum	100		1001	1001	curse-res	100		10	10																																																																					0
item -> added mod 4	1				100	16	366	925		2	boot	or3						useitem			100	corrupt	100		52	52	corruptnum	100		1001	1001	red-dmg%	100		2	3																																																																					0
item -> added mod 5	1				100	16	366	944		2	boot	or3						useitem			100	corrupt	100		53	53	corruptnum	100		1001	1001	res-fire-max	100		2	3	res-fire	100		10	10																																																																0
item -> added mod 6	1				100	16	366	963		2	boot	or3						useitem			100	corrupt	100		54	54	corruptnum	100		1001	1001	res-cold-max	100		2	3	res-cold	100		10	10																																																																0
item -> added mod 7	1				100	16	366	982		2	boot	or3						useitem			100	corrupt	100		55	55	corruptnum	100		1001	1001	res-ltng-max	100		2	3	res-ltng	100		10	10																																																																0
item -> added mod 8	1				100	16	366	1000		2	boot	or3						useitem			100	corrupt	100		56	56	corruptnum	100		1001	1001	res-pois-max	100		2	3	res-pois	100		10	10																																																																0
GLOVES -------------------------------	0																																																																																																								0
Tier 1	0																																																																																																								0
item -> added mod 1	1				100	16	366	295		2	glov	or3						useitem			100	corrupt	100		33	33	corruptnum	100		1001	1001	ac%	100		50	80																																																																					0
item -> added mod 2	1				100	16	366	340		2	glov	or3						useitem			100	corrupt	100		7	7	corruptnum	100		1001	1001	mag%	100		10	25																																																																					0
item -> added mod 3	1				100	16	366	385		2	glov	or3						useitem			100	corrupt	100		60	60	corruptnum	100		1001	1001	gold%	100		50	100																																																																					0
item -> added mod 4	1				100	16	366	430		2	glov	or3						useitem			100	corrupt	100		36	36	corruptnum	100		1001	1001	res-fire	100		10	15																																																																					0
item -> added mod 5	1				100	16	366	475		2	glov	or3						useitem			100	corrupt	100		37	37	corruptnum	100		1001	1001	res-cold	100		10	15																																																																					0
item -> added mod 6	1				100	16	366	520		2	glov	or3						useitem			100	corrupt	100		38	38	corruptnum	100		1001	1001	res-ltng	100		10	15																																																																					0
item -> added mod 7	1				100	16	366	565		2	glov	or3						useitem			100	corrupt	100		39	39	corruptnum	100		1001	1001	res-pois	100		10	15																																																																					0
item -> added mod 8	1				100	16	366	610		2	glov	or3						useitem			100	corrupt	100		40	40	corruptnum	100		1001	1001	regen-mana	100		10	15																																																																					0
Tier 2	0																																																																																																								0
item -> added mod 1	1				100	16	366	640		2	glov	or3						useitem			100	corrupt	100		3	3	corruptnum	100		1001	1001	att	100		100	150																																																																					0
item -> added mod 2	1				100	16	366	670		2	glov	or3						useitem			100	corrupt	100		61	61	corruptnum	100		1001	1001	hp	100		20	40																																																																					0
item -> added mod 3	1				100	16	366	700		2	glov	or3						useitem			100	corrupt	100		63	63	corruptnum	100		1001	1001	pierce	100		10	15																																																																					0
item -> added mod 4	1				100	16	366	730		2	glov	or3						useitem			100	corrupt	100		64	64	corruptnum	100		1001	1001	block1	100		10	20																																																																					0
item -> added mod 5	1				100	16	366	760		2	glov	or3						useitem			100	corrupt	100		34	34	corruptnum	100		1001	1001	regen	100		15	20																																																																					0
item -> added mod 6	1				100	16	366	790		2	glov	or3						useitem			100	corrupt	100		57	57	corruptnum	100		1001	1001	lifesteal	100		2	3																																																																					0
item -> added mod 7	1				100	16	366	820		2	glov	or3						useitem			100	corrupt	100		58	58	corruptnum	100		1001	1001	manasteal	100		2	3																																																																					0
item -> added mod 8	1				100	16	366	850		2	glov	or3						useitem			100	corrupt	100		65	65	corruptnum	100		1001	1001	all-stats	100		3	6																																																																					0
Tier 3	0																																																																																																								0
item -> added mod 1	1				100	16	366	869		2	glov	or3						useitem			100	corrupt	100		19	19	corruptnum	100		1001	1001	deadly	100		10	10																																																																					0
item -> added mod 2	1				100	16	366	888		2	glov	or3						useitem			100	corrupt	100		9	9	corruptnum	100		1001	1001	mana-kill	100		2	4																																																																					0
item -> added mod 3	1				100	16	366	907		2	glov	or3						useitem			100	corrupt	100		42	42	corruptnum	100		1001	1001	cast1	100		10	10																																																																					0
item -> added mod 4	1				100	16	366	925		2	glov	or3						useitem			100	corrupt	100		51	51	corruptnum	100		1001	1001	res-all	100		5	8																																																																					0
item -> added mod 5	1				100	16	366	944		2	glov	or3						useitem			100	corrupt	100		20	20	corruptnum	100		1001	1001	swing1	100		10	10																																																																					0
item -> added mod 6	1				100	16	366	963		2	glov	or3						useitem			100	corrupt	100		66	66	corruptnum	100		1001	1001	reduce-ac	100		15	25																																																																					0
item -> added mod 7	1				100	16	366	982		2	glov	or3						useitem			100	corrupt	100		67	67	corruptnum	100		1001	1001	block	100		10	10																																																																					0
item -> added mod 8	1				100	16	366	1000		2	glov	or3						useitem			100	corrupt	100		2	2	corruptnum	100		1001	1001	dmg%	100		30	40																																																																					0
BELTS -----------------------------------	0																																																																																																								0
Tier 1	0																																																																																																								0
item -> added mod 1	1				100	16	366	295		2	belt	or3						useitem			100	corrupt	100		68	68	corruptnum	100		1001	1001	str	100		5	10																																																																					0
item -> added mod 2	1				100	16	366	340		2	belt	or3						useitem			100	corrupt	100		69	69	corruptnum	100		1001	1001	dex	100		5	10																																																																					0
item -> added mod 3	1				100	16	366	385		2	belt	or3						useitem			100	corrupt	100		70	70	corruptnum	100		1001	1001	vit	100		5	10																																																																					0
item -> added mod 4	1				100	16	366	430		2	belt	or3						useitem			100	corrupt	100		71	71	corruptnum	100		1001	1001	enr	100		5	10																																																																					0
item -> added mod 5	1				100	16	366	475		2	belt	or3						useitem			100	corrupt	100		36	36	corruptnum	100		1001	1001	res-fire	100		10	15																																																																					0
item -> added mod 6	1				100	16	366	520		2	belt	or3						useitem			100	corrupt	100		37	37	corruptnum	100		1001	1001	res-cold	100		10	15																																																																					0
item -> added mod 7	1				100	16	366	565		2	belt	or3						useitem			100	corrupt	100		38	38	corruptnum	100		1001	1001	res-ltng	100		10	15																																																																					0
item -> added mod 8	1				100	16	366	610		2	belt	or3						useitem			100	corrupt	100		39	39	corruptnum	100		1001	1001	res-pois	100		10	15																																																																					0
Tier 2	0																																																																																																								0
item -> added mod 1	1				100	16	366	640		2	belt	or3						useitem			100	corrupt	100		41	41	corruptnum	100		1001	1001	thorns/lvl	100		16	32																																																																					0
item -> added mod 2	1				100	16	366	670		2	belt	or3						useitem			100	corrupt	100		65	65	corruptnum	100		1001	1001	all-stats	100		3	6																																																																					0
item -> added mod 3	1				100	16	366	700		2	belt	or3						useitem			100	corrupt	100		63	63	corruptnum	100		1001	1001	pierce	100		10	15																																																																					0
item -> added mod 4	1				100	16	366	730		2	belt	or3						useitem			100	corrupt	100		3	3	corruptnum	100		1001	1001	att	100		100	150																																																																					0
item -> added mod 5	1				100	16	366	760		2	belt	or3						useitem			100	corrupt	100		34	34	corruptnum	100		1001	1001	regen	100		15	20																																																																					0
item -> added mod 6	1				100	16	366	790		2	belt	or3						useitem			100	corrupt	100		7	7	corruptnum	100		1001	1001	mag%	100		20	30																																																																					0
item -> added mod 7	1				100	16	366	820		2	belt	or3						useitem			100	corrupt	100		60	60	corruptnum	100		1001	1001	gold%	100		60	100																																																																					0
item -> added mod 8	1				100	16	366	850		2	belt	or3						useitem			100	corrupt	100		35	35	corruptnum	100		1001	1001	balance1	100		10	10																																																																					0
Tier 3	0																																																																																																								0
item -> added mod 1	1				100	16	366	869		2	belt	or3						useitem			100	corrupt	100		44	44	corruptnum	100		1001	1001	move1	100		10	10																																																																					0
item -> added mod 2	1				100	16	366	888		2	belt	or3						useitem			100	corrupt	100		51	51	corruptnum	100		1001	1001	res-all	100		5	8																																																																					0
item -> added mod 3	1				100	16	366	907		2	belt	or3						useitem			100	corrupt	100		62	62	corruptnum	100		1001	1001	curse-res	100		10	10																																																																					0
item -> added mod 4	1				100	16	366	925		2	belt	or3						useitem			100	corrupt	100		52	52	corruptnum	100		1001	1001	red-dmg%	100		2	4																																																																					0
item -> added mod 5	1				100	16	366	944		2	belt	or3						useitem			100	corrupt	100		42	42	corruptnum	100		1001	1001	cast1	100		10	10																																																																					0
item -> added mod 6	1				100	16	366	963		2	belt	or3						useitem			100	corrupt	100		67	67	corruptnum	100		1001	1001	block	100		10	10																																																																					0
item -> added mod 7	1				100	16	366	982		2	belt	or3						useitem			100	corrupt	100		20	20	corruptnum	100		1001	1001	swing1	100		10	10																																																																					0
item -> added mod 8	1				100	16	366	1000		2	belt	or3						useitem			100	corrupt	100		72	72	corruptnum	100		1001	1001	res-all-max	100		1	2																																																																					0
QUIVERS -----------------------------------	0																																																																																																								0
Tier 1	0																																																																																																								0
item -> added mod 1	1				100	16	366	295		2	misl	or3						useitem			100	corrupt	100		35	35	corruptnum	100		1001	1001	balance2	100		20	20																																																																					0
item -> added mod 2	1				100	16	366	340		2	misl	or3						useitem			100	corrupt	100		61	61	corruptnum	100		1001	1001	hp	100		20	40																																																																					0
item -> added mod 3	1				100	16	366	385		2	misl	or3						useitem			100	corrupt	100		7	7	corruptnum	100		1001	1001	mag%	100		10	25																																																																					0
item -> added mod 4	1				100	16	366	430		2	misl	or3						useitem			100	corrupt	100		60	60	corruptnum	100		1001	1001	gold%	100		50	100																																																																					0
item -> added mod 5	1				100	16	366	475		2	misl	or3						useitem			100	corrupt	100		36	36	corruptnum	100		1001	1001	res-fire	100		10	20																																																																					0
item -> added mod 6	1				100	16	366	520		2	misl	or3						useitem			100	corrupt	100		37	37	corruptnum	100		1001	1001	res-cold	100		10	20																																																																					0
item -> added mod 7	1				100	16	366	565		2	misl	or3						useitem			100	corrupt	100		38	38	corruptnum	100		1001	1001	res-ltng	100		10	20																																																																					0
item -> added mod 8	1				100	16	366	610		2	misl	or3						useitem			100	corrupt	100		39	39	corruptnum	100		1001	1001	res-pois	100		10	20																																																																					0
Tier 2	0																																																																																																								0
item -> added mod 1	1				100	16	366	640		2	misl	or3						useitem			100	corrupt	100		3	3	corruptnum	100		1001	1001	att	100		50	100																																																																					0
item -> added mod 2	1				100	16	366	670		2	misl	or3						useitem			100	corrupt	100		66	66	corruptnum	100		1001	1001	reduce-ac	100		10	20																																																																					0
item -> added mod 3	1				100	16	366	700		2	misl	or3						useitem			100	corrupt	100		63	63	corruptnum	100		1001	1001	pierce	100		10	15																																																																					0
item -> added mod 4	1				100	16	366	730		2	misl	or3						useitem			100	corrupt	100		12	12	corruptnum	100		1001	1001	pierce-fire	100		5	10																																																																					0
item -> added mod 5	1				100	16	366	760		2	misl	or3						useitem			100	corrupt	100		14	14	corruptnum	100		1001	1001	pierce-cold	100		5	10																																																																					0
item -> added mod 6	1				100	16	366	790		2	misl	or3						useitem			100	corrupt	100		57	57	corruptnum	100		1001	1001	lifesteal	100		2	4																																																																					0
item -> added mod 7	1				100	16	366	820		2	misl	or3						useitem			100	corrupt	100		58	58	corruptnum	100		1001	1001	manasteal	100		2	4																																																																					0
item -> added mod 8	1				100	16	366	850		2	misl	or3						useitem			100	corrupt	100		44	44	corruptnum	100		1001	1001	move1	100		10	10																																																																					0
Tier 3	0																																																																																																								0
item -> added mod 1	1				100	16	366	869		2	misl	or3						useitem			100	corrupt	100		74	74	corruptnum	100		1001	1001	dmg-min	100		10	15																																																																					0
item -> added mod 2	1				100	16	366	888		2	misl	or3						useitem			100	corrupt	100		51	51	corruptnum	100		1001	1001	res-all	100		5	10																																																																					0
item -> added mod 3	1				100	16	366	907		2	misl	or3						useitem			100	corrupt	100		49	49	corruptnum	100		1001	1001	curse-res	100		10	10																																																																					0
item -> added mod 4	1				100	16	366	925		2	misl	or3						useitem			100	corrupt	100		75	75	corruptnum	100		1001	1001	dmg-max	100		10	15																																																																					0
item -> added mod 5	1				100	16	366	944		2	misl	or3						useitem			100	corrupt	100		2	2	corruptnum	100		1001	1001	dmg%	100		30	40																																																																					0
item -> added mod 6	1				100	16	366	963		2	misl	or3						useitem			100	corrupt	100		76	76	corruptnum	100		1001	1001	ignore-ac	100		1	1																																																																					0
item -> added mod 7	1				100	16	366	982		2	misl	or3						useitem			100	corrupt	100		20	20	corruptnum	100		1001	1001	swing1	100		10	10																																																																					0
item -> added mod 8	1				100	16	366	1000		2	misl	or3						useitem			100	corrupt	100		50	50	corruptnum	100		1001	1001	allskills	100		1	1																																																																					0
SHIELDS ------------------------------	0																																																																																																								0
Tier 1	0																																																																																																								0
item -> added mod 1	1				100	16	366	530		2	shld	or3						useitem			100	corrupt	100		64	64	corruptnum	100		1001	1001	block2	100		20	20																																																																					0
item -> added mod 2	1				100	16	366	560		2	shld	or3						useitem			100	corrupt	100		7	7	corruptnum	100		1001	1001	mag%	100		20	30																																																																					0
item -> added mod 3	1				100	16	366	590		2	shld	or3						useitem			100	corrupt	100		35	35	corruptnum	100		1001	1001	balance1	100		20	30																																																																					0
item -> added mod 4	1				100	16	366	620		2	shld	or3						useitem			100	corrupt	100		36	36	corruptnum	100		1001	1001	res-fire	100		35	40																																																																					0
item -> added mod 5	1				100	16	366	650		2	shld	or3						useitem			100	corrupt	100		37	37	corruptnum	100		1001	1001	res-cold	100		35	40																																																																					0
item -> added mod 6	1				100	16	366	680		2	shld	or3						useitem			100	corrupt	100		38	38	corruptnum	100		1001	1001	res-ltng	100		35	40																																																																					0
item -> added mod 7	1				100	16	366	710		2	shld	or3						useitem			100	corrupt	100		39	39	corruptnum	100		1001	1001	res-pois	100		35	40																																																																					0
item -> added mod 8	1				100	16	366	740		2	shld	or3						useitem			100	corrupt	100		40	40	corruptnum	100		1001	1001	regen-mana	100		15	25																																																																					0
Tier 2	0																																																																																																								0
item -> added mod 1	1				100	16	366	760		2	shld	or3						useitem			100	corrupt	100		41	41	corruptnum	100		1001	1001	thorns/lvl	100		32	48																																																																					0
item -> added mod 2	1				100	16	366	780		2	shld	or3						useitem			100	corrupt	100		43	43	corruptnum	100		1001	1001	hp%	100		4	6																																																																					0
item -> added mod 3	1				100	16	366	800		2	shld	or3						useitem			100	corrupt	100		73	73	corruptnum	100		1001	1001	block	100		10	20	block1	100		10	10																																																																0
item -> added mod 4	1				100	16	366	820		2	shld	or3						useitem			100	corrupt	100		48	48	corruptnum	100		1001	1001	indestruct	100		1	1	ac%	100		50	80																																																																0
item -> added mod 5	1				100	16	366	840		2	shld	or3						useitem			100	corrupt	100		45	45	corruptnum	100		1001	1001	nofreeze	100		1	1																																																																					0
item -> added mod 6	1				100	16	366	860		2	shld	or3						useitem			100	corrupt	100		46	46	corruptnum	100		1001	1001	red-dmg	100		6	10																																																																					0
item -> added mod 7	1				100	16	366	880		2	shld	or3						useitem			100	corrupt	100		47	47	corruptnum	100		1001	1001	red-mag	100		6	10																																																																					0
item -> added mod 8	1				100	16	366	900		2	shld	or3						useitem			100	corrupt	100		42	42	corruptnum	100		1001	1001	cast1	100		10	10																																																																					0
Tier 3	0																																																																																																								0
item -> added mod 1	1				100	16	366	912		2	shld	or3						useitem			100	corrupt	100		49	49	corruptnum	100		1001	1001	curse-res	100		10	20																																																																					0
item -> added mod 2	1				100	16	366	925		2	shld	or3						useitem			100	corrupt	100		50	50	corruptnum	100		1001	1001	allskills	100		1	1																																																																					0
item -> added mod 3	1				100	16	366	937		2	shld	or3						useitem			100	corrupt	100		51	51	corruptnum	100		1001	1001	res-all	100		22	30																																																																					0
item -> added mod 4	1				100	16	366	950		2	shld	or3						useitem			100	corrupt	100		52	52	corruptnum	100		1001	1001	red-dmg%	100		6	6																																																																					0
item -> added mod 5	1				100	16	366	962		2	shld	or3						useitem			100	corrupt	100		53	53	corruptnum	100		1001	1001	res-fire-max	100		4	5	res-fire	100		15	20																																																																0
item -> added mod 6	1				100	16	366	975		2	shld	or3						useitem			100	corrupt	100		54	54	corruptnum	100		1001	1001	res-cold-max	100		4	5	res-cold	100		15	20																																																																0
item -> added mod 7	1				100	16	366	987		2	shld	or3						useitem			100	corrupt	100		55	55	corruptnum	100		1001	1001	res-ltng-max	100		4	5	res-ltng	100		15	20																																																																0
item -> added mod 8	1				100	16	366	1000		2	shld	or3						useitem			100	corrupt	100		56	56	corruptnum	100		1001	1001	res-pois-max	100		4	5	res-pois	100		15	20																																																																0
RINGS ------------------------------------	0																																																																																																								0
Tier 1	0																																																																																																								0
item -> added mod 1	1				100	16	366	295		2	ring	or3						useitem			100	corrupt	100		68	68	corruptnum	100		1001	1001	str	100		5	10																																																																					0
item -> added mod 2	1				100	16	366	340		2	ring	or3						useitem			100	corrupt	100		69	69	corruptnum	100		1001	1001	dex	100		5	10																																																																					0
item -> added mod 3	1				100	16	366	385		2	ring	or3						useitem			100	corrupt	100		70	70	corruptnum	100		1001	1001	vit	100		5	10																																																																					0
item -> added mod 4	1				100	16	366	430		2	ring	or3						useitem			100	corrupt	100		71	71	corruptnum	100		1001	1001	enr	100		5	10																																																																					0
item -> added mod 5	1				100	16	366	475		2	ring	or3						useitem			100	corrupt	100		36	36	corruptnum	100		1001	1001	res-fire	100		10	15																																																																					0
item -> added mod 6	1				100	16	366	520		2	ring	or3						useitem			100	corrupt	100		37	37	corruptnum	100		1001	1001	res-cold	100		10	15																																																																					0
item -> added mod 7	1				100	16	366	565		2	ring	or3						useitem			100	corrupt	100		38	38	corruptnum	100		1001	1001	res-ltng	100		10	15																																																																					0
item -> added mod 8	1				100	16	366	610		2	ring	or3						useitem			100	corrupt	100		39	39	corruptnum	100		1001	1001	res-pois	100		10	15																																																																					0
Tier 2	0																																																																																																								0
item -> added mod 1	1				100	16	366	640		2	ring	or3						useitem			100	corrupt	100		61	61	corruptnum	100		1001	1001	hp	100		20	40																																																																					0
item -> added mod 2	1				100	16	366	670		2	ring	or3						useitem			100	corrupt	100		7	7	corruptnum	100		1001	1001	mag%	100		15	20																																																																					0
item -> added mod 3	1				100	16	366	700		2	ring	or3						useitem			100	corrupt	100		60	60	corruptnum	100		1001	1001	gold%	100		40	80																																																																					0
item -> added mod 4	1				100	16	366	730		2	ring	or3						useitem			100	corrupt	100		46	46	corruptnum	100		1001	1001	red-dmg	100		4	6																																																																					0
item -> added mod 5	1				100	16	366	760		2	ring	or3						useitem			100	corrupt	100		47	47	corruptnum	100		1001	1001	red-mag	100		4	6																																																																					0
item -> added mod 6	1				100	16	366	790		2	ring	or3						useitem			100	corrupt	100		8	8	corruptnum	100		1001	1001	heal-kill	100		2	3																																																																					0
item -> added mod 7	1				100	16	366	820		2	ring	or3						useitem			100	corrupt	100		9	9	corruptnum	100		1001	1001	mana-kill	100		2	3																																																																					0
item -> added mod 8	1				100	16	366	850		2	ring	or3						useitem			100	corrupt	100		3	3	corruptnum	100		1001	1001	att	100		100	150																																																																					0
Tier 3	0																																																																																																								0
item -> added mod 1	1				100	16	366	869		2	ring	or3						useitem			100	corrupt	100		44	44	corruptnum	100		1001	1001	move1	100		10	10																																																																					0
item -> added mod 2	1				100	16	366	888		2	ring	or3						useitem			100	corrupt	100		52	52	corruptnum	100		1001	1001	red-dmg%	100		2	3																																																																					0
item -> added mod 3	1				100	16	366	907		2	ring	or3						useitem			100	corrupt	100		62	62	corruptnum	100		1001	1001	curse-res	100		10	10																																																																					0
item -> added mod 4	1				100	16	366	925		2	ring	or3						useitem			100	corrupt	100		57	57	corruptnum	100		1001	1001	lifesteal	100		3	4																																																																					0
item -> added mod 5	1				100	16	366	944		2	ring	or3						useitem			100	corrupt	100		58	58	corruptnum	100		1001	1001	manasteal	100		3	4																																																																					0
item -> added mod 6	1				100	16	366	963		2	ring	or3						useitem			100	corrupt	100		42	42	corruptnum	100		1001	1001	cast1	100		10	10																																																																					0
item -> added mod 7	1				100	16	366	982		2	ring	or3						useitem			100	corrupt	100		51	51	corruptnum	100		1001	1001	res-all	100		4	6																																																																					0
item -> added mod 8	1				100	16	366	1000		2	ring	or3						useitem			100	corrupt	100		65	65	corruptnum	100		1001	1001	all-stats	100		4	6																																																																					0
AMULETS --------------------------------	0																																																																																																								0
Tier 1	0																																																																																																								0
item -> added mod 1	1				100	16	366	295		2	amul	or3						useitem			100	corrupt	100		68	68	corruptnum	100		1001	1001	str	100		6	12																																																																					0
item -> added mod 2	1				100	16	366	340		2	amul	or3						useitem			100	corrupt	100		69	69	corruptnum	100		1001	1001	dex	100		6	12																																																																					0
item -> added mod 3	1				100	16	366	385		2	amul	or3						useitem			100	corrupt	100		70	70	corruptnum	100		1001	1001	vit	100		6	12																																																																					0
item -> added mod 4	1				100	16	366	430		2	amul	or3						useitem			100	corrupt	100		71	71	corruptnum	100		1001	1001	enr	100		6	12																																																																					0
item -> added mod 5	1				100	16	366	475		2	amul	or3						useitem			100	corrupt	100		36	36	corruptnum	100		1001	1001	res-fire	100		15	20																																																																					0
item -> added mod 6	1				100	16	366	520		2	amul	or3						useitem			100	corrupt	100		37	37	corruptnum	100		1001	1001	res-cold	100		15	20																																																																					0
item -> added mod 7	1				100	16	366	565		2	amul	or3						useitem			100	corrupt	100		38	38	corruptnum	100		1001	1001	res-ltng	100		15	20																																																																					0
item -> added mod 8	1				100	16	366	610		2	amul	or3						useitem			100	corrupt	100		39	39	corruptnum	100		1001	1001	res-pois	100		15	20																																																																					0
Tier 2	0																																																																																																								0
item -> added mod 1	1				100	16	366	640		2	amul	or3						useitem			100	corrupt	100		65	65	corruptnum	100		1001	1001	all-stats	100		5	8																																																																					0
item -> added mod 2	1				100	16	366	670		2	amul	or3						useitem			100	corrupt	100		7	7	corruptnum	100		1001	1001	mag%	100		20	30																																																																					0
item -> added mod 3	1				100	16	366	700		2	amul	or3						useitem			100	corrupt	100		60	60	corruptnum	100		1001	1001	gold%	100		60	100																																																																					0
item -> added mod 4	1				100	16	366	730		2	amul	or3						useitem			100	corrupt	100		63	63	corruptnum	100		1001	1001	pierce	100		10	20																																																																					0
item -> added mod 5	1				100	16	366	760		2	amul	or3						useitem			100	corrupt	100		34	34	corruptnum	100		1001	1001	regen	100		15	25																																																																					0
item -> added mod 6	1				100	16	366	790		2	amul	or3						useitem			100	corrupt	100		8	8	corruptnum	100		1001	1001	heal-kill	100		2	3																																																																					0
item -> added mod 7	1				100	16	366	820		2	amul	or3						useitem			100	corrupt	100		9	9	corruptnum	100		1001	1001	mana-kill	100		2	3																																																																					0
item -> added mod 8	1				100	16	366	850		2	amul	or3						useitem			100	corrupt	100		35	35	corruptnum	100		1001	1001	balance1	100		10	10																																																																					0
Tier 3	0																																																																																																								0
item -> added mod 1	1				100	16	366	869		2	amul	or3						useitem			100	corrupt	100		44	44	corruptnum	100		1001	1001	move1	100		10	10																																																																					0
item -> added mod 2	1				100	16	366	888		2	amul	or3						useitem			100	corrupt	100		2	2	corruptnum	100		1001	1001	dmg%	100		30	40																																																																					0
item -> added mod 3	1				100	16	366	907		2	amul	or3						useitem			100	corrupt	100		50	50	corruptnum	100		1001	1001	allskills	100		1	1																																																																					0
item -> added mod 4	1				100	16	366	925		2	amul	or3						useitem			100	corrupt	100		67	67	corruptnum	100		1001	1001	block	100		10	10																																																																					0
item -> added mod 5	1				100	16	366	944		2	amul	or3						useitem			100	corrupt	100		72	72	corruptnum	100		1001	1001	res-all-max	100		1	2																																																																					0
item -> added mod 6	1				100	16	366	963		2	amul	or3						useitem			100	corrupt	100		42	42	corruptnum	100		1001	1001	cast1	100		10	10																																																																					0
item -> added mod 7	1				100	16	366	982		2	amul	or3						useitem			100	corrupt	100		51	51	corruptnum	100		1001	1001	res-all	100		5	10																																																																					0
item -> added mod 8	1				100	16	366	1000		2	amul	or3						useitem			100	corrupt	100		45	45	corruptnum	100		1001	1001	nofreeze	100		1	1																																																																					0
Crafting Potential	0																																																																																																								0
Crafting Scroll T1 Enhanced Damage	1				100	15	367	1		2	weap	c01						useitem			100	dmg%			1	10	crafting-potential			-1	-25																																																																										0
Crafting Scroll T1 Enhanced Damage	1				100	15	367	1		2	glov	c01						useitem			100	dmg%			1	10	crafting-potential			-1	-25																																																																										0
Crafting Scroll T1 Enhanced Damage	1				100	15	367	1		2	misl	c01						useitem			100	dmg%			1	10	crafting-potential			-1	-25																																																																										0
Crafting Scroll T1 Increased Attack Speed	1				100	15	367	1		2	weap	c02						useitem			100	swing3			1	3	crafting-potential			-1	-25																																																																										0
Crafting Scroll T1 Increased Attack Speed	1				100	15	367	1		2	ring	c02						useitem			100	swing3			1	3	crafting-potential			-1	-25																																																																										0
Crafting Scroll T1 Increased Attack Speed	1				100	15	367	1		2	amul	c02						useitem			100	swing3			1	3	crafting-potential			-1	-25																																																																										0
Crafting Scroll T1 Increased Attack Speed	1				100	15	367	1		2	glov	c02						useitem			100	swing3			1	3	crafting-potential			-1	-25																																																																										0
Crafting Scroll T1 Increased Attack Speed	1				100	15	367	1		2	misl	c02						useitem			100	swing3			1	3	crafting-potential			-1	-25																																																																										0
Crafting Scroll T1 Faster Cast Rate	1				100	15	367	1		2	weap	c03						useitem			100	cast3			1	3	crafting-potential			-1	-25																																																																										0
Crafting Scroll T1 Faster Cast Rate	1				100	15	367	1		2	ring	c03						useitem			100	cast3			1	3	crafting-potential			-1	-25																																																																										0
Crafting Scroll T1 Faster Cast Rate	1				100	15	367	1		2	amul	c03						useitem			100	cast3			1	3	crafting-potential			-1	-25																																																																										0
Crafting Scroll T1 Faster Cast Rate	1				100	15	367	1		2	glov	c03						useitem			100	cast3			1	3	crafting-potential			-1	-25																																																																										0
